nb_shards,nb_requests,accuracy,retraining_time
20,0,0.9587814195370935,63.76525950431824
20,4,0.9583319957625759,12.462717771530151
20,8,0.9583640974607557,22.850831031799316
20,12,0.9591024365188918,27.773002862930298
20,16,0.958107283875317,37.49232459068298
20,20,0.958685114442554,1000.3688504695892
20,24,0.958492504253475,48.515857458114624
20,28,0.9585888093480145,43.56702399253845
20,32,0.9576257584026195,52.98136878013611
20,36,0.957722063497159,57.85420608520508
20,40,0.9575936567044396,56.77827334403992
20,44,0.9582677923662162,71.39587593078613
20,48,0.9578825719880582,73.71996235847473
20,52,0.9582677923662162,56.19951891899109
20,56,0.9580751821771372,65.87600946426392
20,60,0.9578183685916986,68.54212927818298
