nb_shards,nb_requests,accuracy,retraining_time
5,0,0.9735160990016372,61.95992970466614
5,1,0.9728098616416808,13.154224395751951
5,2,0.9726172514526018,25.471269130706787
5,3,0.9731308786234791,24.927469491958618
5,4,0.973162980321659,37.02635073661804
5,5,0.9730666752271195,36.536388635635376
5,6,0.9732271837180186,37.44993281364441
5,7,0.9731950820198388,64.17014050483704
5,8,0.9730666752271195,49.57914137840271
5,9,0.9734839973034574,37.4146511554718
5,10,0.9725209463580623,49.13977241516113
5,11,0.9732592854161985,62.12123775482178
5,12,0.9731308786234791,49.246137857437134
5,13,0.9728419633398607,61.77490496635437
5,14,0.9729061667362203,61.72673153877258
5,15,0.9733555905107381,63.04621148109436
