nb_shards,nb_requests,accuracy,retraining_time
10,0,0.9657474880421174,60.57301902770996
10,2,0.9654906744566788,11.975053071975708
10,4,0.9659079965330166,17.806432485580444
10,6,0.9654585727584989,24.055044174194336
10,8,0.9658758948348367,35.70315456390381
10,10,0.9647202337003628,36.952691078186035
10,12,0.9660685050239157,35.829546213150024
10,14,0.9655227761548586,56.7128963470459
10,16,0.9649449455876216,48.14912796020508
10,18,0.9653301659657796,44.688644886016846
10,20,0.9651696574748804,60.41390514373779
10,22,0.9665500304966133,58.17460918426514
10,24,0.9661648101184552,48.093478202819824
10,26,0.9661006067220956,61.32590699195862
10,28,0.9649449455876216,54.94460916519165
10,30,0.9653622676639594,60.00181221961975
