nb_shards,nb_requests,accuracy,retraining_time
5,0,0.9735160990016372,61.95992970466614
5,1,0.9728098616416808,13.154224395751951
5,2,0.9726172514526018,25.471269130706787
5,3,0.9731308786234791,24.927469491958618
5,4,0.973162980321659,37.02635073661804
5,5,0.9730666752271195,36.536388635635376
5,6,0.9732271837180186,37.44993281364441
5,7,0.9731950820198388,64.17014050483704
5,8,0.9730666752271195,49.57914137840271
5,9,0.9734839973034574,37.4146511554718
5,10,0.9725209463580623,49.13977241516113
5,11,0.9732592854161985,62.12123775482178
5,12,0.9731308786234791,49.246137857437134
5,13,0.9728419633398607,61.77490496635437
5,14,0.9729061667362203,61.72673153877258
5,15,0.9733555905107381,63.04621148109436
10,0,0.9657474880421174,60.57301902770996
10,2,0.9654906744566788,11.975053071975708
10,4,0.9659079965330166,17.806432485580444
10,6,0.9654585727584989,24.055044174194336
10,8,0.9658758948348367,35.70315456390381
10,10,0.9647202337003628,36.952691078186035
10,12,0.9660685050239157,35.829546213150024
10,14,0.9655227761548586,56.7128963470459
10,16,0.9649449455876216,48.14912796020508
10,18,0.9653301659657796,44.688644886016846
10,20,0.9651696574748804,60.41390514373779
10,22,0.9665500304966133,58.17460918426514
10,24,0.9661648101184552,48.093478202819824
10,26,0.9661006067220956,61.32590699195862
10,28,0.9649449455876216,54.94460916519165
10,30,0.9653622676639594,60.00181221961975
15,0,0.9610927418060415,62.21377658843994
15,3,0.9611248435042213,12.198939800262451
15,6,0.9610927418060415,21.588340997695923
15,9,0.9609643350133222,31.055248498916626
15,12,0.9610606401078617,36.864004135131836
15,15,0.9604828095406247,40.86145853996277
15,18,0.9610285384096818,47.091017723083496
15,21,0.9610285384096818,56.33630347251892
15,24,0.9607075214278835,50.55938744544983
15,27,0.9600654874642869,54.61116862297058
15,30,0.9605470129369844,63.190232276916504
15,33,0.9603223010497255,54.735326528549194
15,36,0.9612532502969408,55.55349588394165
15,39,0.9609643350133222,58.585222244262695
15,42,0.9610606401078617,62.19601607322693
15,45,0.9607075214278835,57.11436057090759
20,0,0.9587814195370935,63.76525950431824
20,4,0.9583319957625759,12.462717771530151
20,8,0.9583640974607557,22.850831031799316
20,12,0.9591024365188918,27.773002862930298
20,16,0.958107283875317,37.49232459068298
20,20,0.958685114442554,1000.3688504695892
20,24,0.958492504253475,48.515857458114624
20,28,0.9585888093480145,43.56702399253845
20,32,0.9576257584026195,52.98136878013611
20,36,0.957722063497159,57.85420608520508
20,40,0.9575936567044396,56.77827334403992
20,44,0.9582677923662162,71.39587593078613
20,48,0.9578825719880582,73.71996235847473
20,52,0.9582677923662162,56.19951891899109
20,56,0.9580751821771372,65.87600946426392
20,60,0.9578183685916986,68.54212927818298
25,0,0.9555712497191101,64.92477631568909
25,5,0.9553786395300311,10.311920881271362
25,10,0.9555712497191101,23.65176558494568
25,15,0.9554749446245706,29.273493766784668
25,20,0.955410741228211,35.23977208137512
25,25,0.9557638599081891,35.870253562927246
25,30,0.9563095887772464,47.555362939834595
25,35,0.9559885717954479,48.41540241241455
25,40,0.9557638599081891,46.675549268722534
25,45,0.9553144361336715,61.44034028053284
25,50,0.9557638599081891,53.54455375671387
25,55,0.9556354531154698,58.06360483169556
25,60,0.9560206734936278,51.60908246040344
25,65,0.9558922667009084,54.58003377914429
25,70,0.9551539276427723,61.225945711135864
25,75,0.9555070463227505,59.05251908302307
