nb_shards,nb_requests,accuracy,retraining_time
5,0,0.9554749446245706,15.649230718612671
5,1,0.9555712497191101,3.056701183319092
5,2,0.9556354531154698,3.687645673751831
5,3,0.955218131039132,9.455432176589966
5,4,0.9559564700972681,10.190858602523804
5,5,0.9565021989663253,9.159759759902954
5,6,0.956373792173606,15.424305200576782
5,7,0.9566627074572245,9.398881673812866
5,8,0.9567911142499438,12.294086694717407
5,9,0.9559243683990883,16.175618648529053
5,10,0.9564058938717859,12.335425853729248
5,11,0.9556996565118294,15.341233253479004
5,12,0.9558922667009084,12.281556367874146
5,13,0.9558280633045488,15.519453048706055
5,14,0.9557959616063689,15.998380661010742
5,15,0.9569837244390228,15.196365594863892
5,16,0.9576899617989791,15.187658309936523
5,17,0.9550897242464126,15.0539071559906
5,18,0.9562453853808867,15.886966228485107
5,19,0.9556675548136496,15.808201551437378
5,20,0.9564700972681455,15.376916408538818
5,21,0.9565021989663253,15.30618929862976
5,22,0.9560206734936278,15.349220991134644
5,23,0.9557959616063689,15.23661994934082
5,24,0.9559885717954479,15.320980548858643
5,25,0.954640300471895,15.194175004959106
5,26,0.9563095887772464,15.436643362045288
5,27,0.9553465378318513,15.110082149505615
5,28,0.9564058938717859,15.267282247543335
5,29,0.9566948091554043,15.281968832015991
5,30,0.956181181984527,15.314751863479614
5,31,0.95560335141729,15.362183570861816
5,32,0.9564700972681455,15.403307437896729
5,33,0.9555070463227505,15.46196174621582
5,34,0.9553144361336715,15.19650650024414
5,35,0.9555391480209303,16.035842657089233
5,36,0.9557638599081891,96.54763627052307
5,37,0.9552502327373118,15.241797924041748
5,38,0.9560206734936278,16.06634283065796
5,39,0.9561169785881674,15.330978155136108
5,40,0.9552502327373118,15.511314153671265
5,41,0.9568553176463035,16.07277536392212
5,42,0.9566306057590447,15.601937770843506
5,43,0.9560527751918076,15.823217391967773
5,44,0.9568874193444833,15.451974153518677
5,45,0.955025520850053,15.41305160522461
5,46,0.9555070463227505,15.393854141235352
5,47,0.9560206734936278,15.491822957992554
5,48,0.9549292157555135,15.352710247039795
5,49,0.9565021989663253,15.392197847366333
5,50,0.9556996565118294,15.427841186523438
5,51,0.955410741228211,15.465512752532959
5,52,0.9569837244390228,15.597224712371826
5,53,0.9564700972681455,15.727643728256226
5,54,0.9558280633045488,16.219468355178833
5,55,0.9556354531154698,15.695170164108276
5,56,0.9563416904754262,15.518654823303223
5,57,0.9556675548136496,16.871355533599854
5,58,0.9562132836827069,15.419293642044067
5,59,0.9561169785881674,15.614399671554565
5,60,0.9555070463227505,15.817710161209106
5,61,0.9562132836827069,15.5967435836792
5,62,0.9562774870790665,15.815471887588501
5,63,0.95560335141729,16.02064275741577
5,64,0.9559885717954479,15.894071578979492
5,65,0.9561490802863472,15.292436361312866
5,66,0.9561490802863472,15.385002136230469
5,67,0.9564700972681455,15.388435363769531
5,68,0.9569837244390228,15.520622968673706
5,69,0.955410741228211,15.577641248703003
5,70,0.9557959616063689,15.785783767700195
5,71,0.9560206734936278,413.55830931663513
5,72,0.9560848768899874,15.586924076080322
5,73,0.9557317582100093,15.526679515838623
5,74,0.955218131039132,15.689836025238037
5,75,0.9566627074572245,15.568337202072144
5,76,0.956566402362685,15.609509468078613
5,77,0.9554749446245706,15.45343565940857
5,78,0.9569195210426632,15.402830600738525
5,79,0.9560848768899874,15.150224685668945
5,80,0.9571763346281018,15.280743837356567
5,81,0.9558601650027286,15.291255235671997
5,82,0.9565021989663253,15.860184669494629
5,83,0.957144232929922,16.39084243774414
5,84,0.9565021989663253,15.518179655075073
5,85,0.9557638599081891,15.925824880599976
5,86,0.9553465378318513,16.535964012145996
5,87,0.9561169785881674,16.201170444488525
5,88,0.9568232159481237,15.472061157226562
5,89,0.9563095887772464,15.366219997406006
5,90,0.9557317582100093,15.254001379013062
5,91,0.9559243683990883,15.430055379867554
5,92,0.9555712497191101,15.4017014503479
5,93,0.9557638599081891,15.381365299224854
5,94,0.9560206734936278,15.417189836502075
5,95,0.9564058938717859,15.265435457229614
5,96,0.9561490802863472,15.345332622528076
5,97,0.9563416904754262,15.72869610786438
5,98,0.9563416904754262,15.2637300491333
5,99,0.956181181984527,15.427677631378174
5,100,0.9552823344354916,15.717409610748291
