nb_shards,nb_requests,accuracy,retraining_time
25,0,0.9555712497191101,64.92477631568909
25,5,0.9553786395300311,10.311920881271362
25,10,0.9555712497191101,23.65176558494568
25,15,0.9554749446245706,29.273493766784668
25,20,0.955410741228211,35.23977208137512
25,25,0.9557638599081891,35.870253562927246
25,30,0.9563095887772464,47.555362939834595
25,35,0.9559885717954479,48.41540241241455
25,40,0.9557638599081891,46.675549268722534
25,45,0.9553144361336715,61.44034028053284
25,50,0.9557638599081891,53.54455375671387
25,55,0.9556354531154698,58.06360483169556
25,60,0.9560206734936278,51.60908246040344
25,65,0.9558922667009084,54.58003377914429
25,70,0.9551539276427723,61.225945711135864
25,75,0.9555070463227505,59.05251908302307
